# Instantané Wikimedia Commons : fichiers dont la page cite la référence Mérimée.
# Généré par `python -m merimee_etl.commons`, jamais à la main.
# Complète `wikidata_images.csv` ; ce n'est pas une décision éditoriale.
reference,fichier
PA00106956,Phalsbourg (Moselle) Place d'Armes 25 MH.jpg
PA00106957,Phalsbourg (Moselle) Place d'Armes 26 MH.jpg
PA00106959,Phalsbourg (Moselle) Place d'Armes 27 MH.jpg
PA00106960,Phalsbourg (Moselle) Place d'Armes 28-29 MH.jpg
PA00106961,Phalsbourg (Moselle) Place d'Armes 28-29 MH.jpg
PA00106962,Phalsbourg (Moselle) Place d'Armes 30 MH.jpg
PA00106965,Phalsbourg (Moselle) Place d'Armes 31 MH.jpg
PA00106969,F Moselle Bitche Eguelshardt border stone1 back.jpg
PA00106969,F Moselle Bitche Eguelshardt border stone3 front back.jpg
PA00106969,F Moselle Bitche Eguelshardt border stone3.jpg
PA00107062,Maison du Clement.JPG
PA00107067,Maison Bonert Hellimer.jpg
PA00107111,PA00107111.Croix de village de Châtenois.jpg
PA00107116,"Châtillon-sur-Saône, Maison 8 rue de l’Assaut MH.jpg"
PA00107144,"Épinal, La Place des Vosges et la Rue du Pont (maison au n° 2).jpg"
PA00107146,"Épinal, La Place des Vosges et la Rue du Pont (maison au n° 4).jpg"
PA00107148,"Immeuble au n° 6 place des Vosges, Épinal.jpg"
PA00107171,"Fréville, Croix monumentale.jpg"
PA00107197,"Martigny-les-Bains, vestiges d'ensemble thermal.jpg"
PA00107216,Prieuré - Porte - Neufchâteau - Médiathèque de l'architecture et du patrimoine - APMH00025035.jpg
PA00107266,Pont de rollainville.JPG
PA00107291,"Saint-Ouen-lès-Parey, Croix de chemin MH.jpg"
PA00107307,"Le Val-d’Ajol, Croix de Larrière.jpg"
PA00107308,Le Val-d'Ajol Croix de Jaranceau.png
PA00107309,Le Val-d'Ajol Croix des chênes.png
PA00107316,Viocourt-Croix de cimetière (détail).jpg
PA00107316,Viocourt-Croix de cimetière.jpg
PA00107317,"Viocourt, Croix de chemin.jpg"
PA00107326,Théâtre de Mirecourt (Vosges).jpg
PA00107338,They-sous-Montfort Tir aux pigeons de Vittel.png
PA00107338,"They-sous-Montfort, Tir aux pigeons dépendant de la station thermale de Vittel.jpg"
PA00107370,Bergues.- Ancienne gendarmerie PA00107370.jpg
PA00107432,"Clairfayts (Nord, Fr) chapelle Huart (tN.D. de N.D de Carpe), 1853.jpg"
PA00107434,Les tombeaux des seigneurs de Comines- Jean de la Clyte (+1443) et Jeanne de Ghistelles (1431).jpg
PA00107439,Condé-sur-l'Escaut l'enceinte espagnole PA00107439 (2) Fotor.jpg
PA00107439,Condé-sur-l'Escaut l'enceinte espagnole PA00107439.jpg
PA00107448,Douai - Salles d'Anchin - 4.jpg
PA00107448,Douai - Salles d'Anchin - 6.jpg
PA00107448,Salle d'Anchin de Douai.jpg
PA00107503,Eppe-Sauvage Oratoire A Notre-Dame-de-Walcourt « PA00107503.jpg
PA00107741,Maroilles vestige de l'abbaye.jpg
PA00107782,Ramousies Ferme de Rempsies et l'oratoire dédié à plusieurs Saints (2).jpg
PA00107782,Ramousies Ferme de Rempsies et l'oratoire dédié à plusieurs Saints.jpg
